[22-Jun-2012 23:36:36] PHP Parse error:  syntax error, unexpected $end in /home/socialpa/public_html/game/includes/main.php on line 356
[22-Jun-2012 23:41:55] PHP Parse error:  syntax error, unexpected $end in /home/socialpa/public_html/game/templates/main.php on line 8
[22-Jun-2012 23:43:57] PHP Parse error:  syntax error, unexpected T_STRING, expecting ',' or ';' in /home/socialpa/public_html/game/templates/main.php on line 160
[22-Jun-2012 23:44:35] PHP Parse error:  syntax error, unexpected T_ENCAPSED_AND_WHITESPACE, expecting T_STRING or T_VARIABLE or T_NUM_STRING in /home/socialpa/public_html/game/templates/main.php on line 155
[22-Jun-2012 23:44:38] PHP Parse error:  syntax error, unexpected T_ENCAPSED_AND_WHITESPACE, expecting T_STRING or T_VARIABLE or T_NUM_STRING in /home/socialpa/public_html/game/templates/main.php on line 155
[22-Jun-2012 23:44:38] PHP Parse error:  syntax error, unexpected T_ENCAPSED_AND_WHITESPACE, expecting T_STRING or T_VARIABLE or T_NUM_STRING in /home/socialpa/public_html/game/templates/main.php on line 155
[22-Jun-2012 23:44:39] PHP Parse error:  syntax error, unexpected T_ENCAPSED_AND_WHITESPACE, expecting T_STRING or T_VARIABLE or T_NUM_STRING in /home/socialpa/public_html/game/templates/main.php on line 155
[22-Jun-2012 23:44:39] PHP Parse error:  syntax error, unexpected T_ENCAPSED_AND_WHITESPACE, expecting T_STRING or T_VARIABLE or T_NUM_STRING in /home/socialpa/public_html/game/templates/main.php on line 155
[22-Jun-2012 23:44:40] PHP Parse error:  syntax error, unexpected T_ENCAPSED_AND_WHITESPACE, expecting T_STRING or T_VARIABLE or T_NUM_STRING in /home/socialpa/public_html/game/templates/main.php on line 155
[22-Jun-2012 23:44:40] PHP Parse error:  syntax error, unexpected T_ENCAPSED_AND_WHITESPACE, expecting T_STRING or T_VARIABLE or T_NUM_STRING in /home/socialpa/public_html/game/templates/main.php on line 155
[22-Jun-2012 23:46:40] PHP Parse error:  syntax error, unexpected $end in /home/socialpa/public_html/game/templates/main.php on line 370
[23-Jun-2012 00:18:02] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/socialpa/public_html/game/includes/main.php:935) in /home/socialpa/public_html/game/templates/main.php on line 4
[23-Jun-2012 00:18:02] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/socialpa/public_html/game/includes/main.php:935) in /home/socialpa/public_html/game/templates/main.php on line 5
[23-Jun-2012 00:18:02] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/socialpa/public_html/game/includes/main.php:935) in /home/socialpa/public_html/game/templates/main.php on line 6
[23-Jun-2012 00:18:02] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/socialpa/public_html/game/includes/main.php:935) in /home/socialpa/public_html/game/templates/main.php on line 7
[23-Jun-2012 00:18:02] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/socialpa/public_html/game/includes/main.php:935) in /home/socialpa/public_html/game/templates/main.php on line 8
[23-Jun-2012 00:32:19] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/socialpa/public_html/game/index.php:32) in /home/socialpa/public_html/game/templates/main.php on line 4
[23-Jun-2012 00:32:19] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/socialpa/public_html/game/index.php:32) in /home/socialpa/public_html/game/templates/main.php on line 5
[23-Jun-2012 00:32:19] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/socialpa/public_html/game/index.php:32) in /home/socialpa/public_html/game/templates/main.php on line 6
[23-Jun-2012 00:32:19] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/socialpa/public_html/game/index.php:32) in /home/socialpa/public_html/game/templates/main.php on line 7
[23-Jun-2012 00:32:19] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/socialpa/public_html/game/index.php:32) in /home/socialpa/public_html/game/templates/main.php on line 8
[23-Jun-2012 07:22:36] PHP Parse error:  syntax error, unexpected $end, expecting ',' or ';' in /home/socialpa/public_html/game/templates/login.php on line 82
[23-Jun-2012 11:19:49] PHP Parse error:  syntax error, unexpected $end in /home/socialpa/public_html/game/includes/main.php on line 84
[23-Jun-2012 11:59:43] PHP Catchable fatal error:  Object of class stdClass could not be converted to string in /home/socialpa/public_html/game/index.php on line 35
[23-Jun-2012 11:59:52] PHP Catchable fatal error:  Object of class stdClass could not be converted to string in /home/socialpa/public_html/game/index.php on line 35
[23-Jun-2012 11:59:54] PHP Catchable fatal error:  Object of class stdClass could not be converted to string in /home/socialpa/public_html/game/index.php on line 35
[23-Jun-2012 12:00:00] PHP Catchable fatal error:  Object of class stdClass could not be converted to string in /home/socialpa/public_html/game/index.php on line 35
[23-Jun-2012 12:00:10] PHP Catchable fatal error:  Object of class stdClass could not be converted to string in /home/socialpa/public_html/game/index.php on line 35
[23-Jun-2012 12:00:16] PHP Catchable fatal error:  Object of class stdClass could not be converted to string in /home/socialpa/public_html/game/index.php on line 35
[23-Jun-2012 14:35:49] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:47:50] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:47:56] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:47:58] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:48:03] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:48:41] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:48:42] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:49:32] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:49:33] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:50:22] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:50:23] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:50:47] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:52:19] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:52:20] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:52:38] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:52:39] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:52:42] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:53:42] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:53:43] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:53:55] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:53:56] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:54:35] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:54:36] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
[23-Jun-2012 14:54:51] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/socialpa/public_html/game/index.php on line 182
